Значения перечисления ХозяйственныеОперации
==========================================

АвансовыйОтчет | Авансовый отчет
КурсовыеРазницыДСУбыток | Курсовые разницы по денежным средствам (убыток)
КурсовыеРазницыЗаймыВыданныеПрибыль | Курсовые разницы по займам выданным (прибыль)
КурсовыеРазницыЗаймыВыданныеУбыток | Курсовые разницы по займам выданным (убыток)
КурсовыеРазницыИнвестицииВАрендуПрибыль | Курсовые разницы инвестиции в аренду (прибыль)
КурсовыеРазницыИнвестицииВАрендуУбыток | Курсовые разницы инвестиции в аренду (убыток)
КурсовыеРазницыКлиентыПрибыль | Курсовые разницы по расчетам с клиентами (прибыль)
КурсовыеРазницыКлиентыУбыток | Курсовые разницы по расчетам с клиентами (убыток)
КурсовыеРазницыКредитыИЗаймыПрибыль | Курсовые разницы по кредитам и займам (прибыль)
КурсовыеРазницыКредитыИЗаймыУбыток | Курсовые разницы по кредитам и займам (убыток)
КурсовыеРазницыПоДисконтированиюПрибыль | Курсовые разницы по дисконтированию (прибыль)
КурсовыеРазницыПоДисконтированиюУбыток | Курсовые разницы по дисконтированию (убыток)
КурсовыеРазницыПоставщикиПрибыль | Курсовые разницы по расчетам с поставщиками (прибыль)
КурсовыеРазницыПоставщикиУбыток | Курсовые разницы по расчетам с поставщиками (убыток)
КурсовыеРазницыРасчетыСКомитентомПрибыль | Курсовые разницы по расчетам с комитентом (прибыль)
КурсовыеРазницыРасчетыСКомитентомУбыток | Курсовые разницы по расчетам с комитентом (убыток)
КурсовыеРазницыРезервыПоДолгамПрибыль | Курсовые разницы резервы по сомнительным долгам (прибыль)
КурсовыеРазницыРезервыПоДолгамУбыток | Курсовые разницы резервы по сомнительным долгам (убыток)
МаркировкаТоваровГИСМ | Маркировка товаров ГИСМ
Модернизация | Модернизация
МодернизацияОС | Модернизация ОС
НаработкаОбъектовЭксплуатации | Наработка объектов эксплуатации
НаработкаТМЦВЭксплуатации | Наработка ТМЦ в эксплуатации
НачислениеВознагражденияЗаСчетРезервов | Начисление вознаграждения за счет резервов
НачислениеДебиторскойЗадолженности | Начисление дебиторской задолженности
НачислениеДивидендов | Начисление дивидендов
НачислениеЗаработнойПлаты | Начисление зарплаты
НачислениеИмущественныхНалогов | Начисление имущественных налогов
НачислениеКредиторскойЗадолженности | Начисление кредиторской задолженности
НачислениеНалогаНаПрибыль | Начисление налога на прибыль
НачислениеНДСВЧастиВыкупнойСтоимости | Начисление НДС в части выкупной стоимости
НачислениеНДСВЧастиОбеспечительногоПлатежа | Начисление НДС в части обеспечительного платежа
НачислениеНДСВЧастиУслугиПоАренде | Начисление НДС в части услуги по аренде
НачислениеНДСНалоговымАгентом | Начисление НДС налоговым агентом
НачислениеНДСпоОтгрузкеТоваровВПути | Начисление НДС по отгрузке без перехода права собственности
НачислениеНДССПолученногоАванса | Начисление НДС с полученного аванса
НачислениеОценочныхОбязательствПоОтпускам | Начисление оценочных обязательств по отпускам
НачислениеПоДоговоруАренды | Начисление по договору аренды
НачислениеПроцентовПоАренде | Начисление процентов по аренде
